%date dayj clear_AM clear_PM
735235.000000 001 0 0
735236.000000 002 0 0
735237.000000 003 0 0
735238.000000 004 0 0
735239.000000 005 0 0
735240.000000 006 0 0
735241.000000 007 0 0
735242.000000 008 0 0
735243.000000 009 0 1
735244.000000 010 0 1
735245.000000 011 0 0
735246.000000 012 0 0
735247.000000 013 0 0
735248.000000 014 0 0
735249.000000 015 1 1
735250.000000 016 0 0
735251.000000 017 0 0
735252.000000 018 0 0
735253.000000 019 0 0
735254.000000 020 0 0
735255.000000 021 0 0
735256.000000 022 0 0
735257.000000 023 0 0
735258.000000 024 0 0
735259.000000 025 0 0
735260.000000 026 1 1
735261.000000 027 1 1
735262.000000 028 0 0
735263.000000 029 1 1
735264.000000 030 1 1
735265.000000 031 0 0
735266.000000 032 0 0
735267.000000 033 1 1
735268.000000 034 0 0
735269.000000 035 0 0
735270.000000 036 0 0
735271.000000 037 0 0
735272.000000 038 1 1
735273.000000 039 1 1
735274.000000 040 0 0
735275.000000 041 0 0
735276.000000 042 0 0
735277.000000 043 1 1
735278.000000 044 1 0
735279.000000 045 0 0
735280.000000 046 1 0
735281.000000 047 1 0
735282.000000 048 0 0
735284.000000 050 0 0
735285.000000 051 1 1
735286.000000 052 0 0
735287.000000 053 0 0
735288.000000 054 0 0
735289.000000 055 1 1
735290.000000 056 0 0
735291.000000 057 0 0
735292.000000 058 0 0
735293.000000 059 0 0
735294.000000 060 0 0
735299.000000 065 0 0
735300.000000 066 0 0
735301.000000 067 0 0
735302.000000 068 1 0
735303.000000 069 0 0
735304.000000 070 0 1
735305.000000 071 0 0
735306.000000 072 0 0
735307.000000 073 0 0
735309.000000 075 1 0
735310.000000 076 0 0
735311.000000 077 0 0
735312.000000 078 0 1
735313.000000 079 1 1
735314.000000 080 0 0
735315.000000 081 0 0
735316.000000 082 1 0
735317.000000 083 1 1
735318.000000 084 1 1
735319.000000 085 1 0
735320.000000 086 0 0
735321.000000 087 0 1
735322.000000 088 1 1
735323.000000 089 0 1
735324.000000 090 1 1
735325.000000 091 0 0
735326.000000 092 1 1
735329.000000 095 0 1
735330.000000 096 1 1
735331.000000 097 1 1
735332.000000 098 0 0
735333.000000 099 1 1
735334.000000 100 1 1
735335.000000 101 0 0
735336.000000 102 0 0
735337.000000 103 1 1
735338.000000 104 1 1
735339.000000 105 1 1
735340.000000 106 0 0
735341.000000 107 0 1
735342.000000 108 1 0
735343.000000 109 0 0
735344.000000 110 0 0
735345.000000 111 0 0
735346.000000 112 0 0
735347.000000 113 0 0
735348.000000 114 1 0
735349.000000 115 0 0
735350.000000 116 0 0
735351.000000 117 0 0
735352.000000 118 0 0
735353.000000 119 1 1
735354.000000 120 0 0
735355.000000 121 0 0
735356.000000 122 0 0
735357.000000 123 0 0
735358.000000 124 0 0
735359.000000 125 0 0
735360.000000 126 0 0
735361.000000 127 0 0
735362.000000 128 0 0
735363.000000 129 0 0
735364.000000 130 0 0
735365.000000 131 0 0
735366.000000 132 0 0
735367.000000 133 0 0
735368.000000 134 0 0
735369.000000 135 0 0
735370.000000 136 0 0
735371.000000 137 1 1
735372.000000 138 1 1
735373.000000 139 0 0
735374.000000 140 1 1
735375.000000 141 1 1
735376.000000 142 0 0
735377.000000 143 1 1
735378.000000 144 1 1
735379.000000 145 1 1
735380.000000 146 1 1
735381.000000 147 1 1
735382.000000 148 1 0
735383.000000 149 0 1
735384.000000 150 1 1
735385.000000 151 1 1
735386.000000 152 1 1
735387.000000 153 1 1
735388.000000 154 0 0
735389.000000 155 1 0
735390.000000 156 1 1
735391.000000 157 1 1
735392.000000 158 1 1
735393.000000 159 1 1
735394.000000 160 1 1
735395.000000 161 1 1
735396.000000 162 1 1
735397.000000 163 1 1
735398.000000 164 1 1
735399.000000 165 1 1
735400.000000 166 1 1
735401.000000 167 1 1
735402.000000 168 1 1
735403.000000 169 1 1
735404.000000 170 1 1
735405.000000 171 1 1
735406.000000 172 1 1
735407.000000 173 1 1
735408.000000 174 1 1
735409.000000 175 1 1
735410.000000 176 1 1
735411.000000 177 1 1
735412.000000 178 0 0
735413.000000 179 0 0
735414.000000 180 1 1
735415.000000 181 1 1
735416.000000 182 1 1
735417.000000 183 1 0
735418.000000 184 0 0
735419.000000 185 0 1
735420.000000 186 1 1
735421.000000 187 1 1
735422.000000 188 1 1
735423.000000 189 1 1
735424.000000 190 0 0
735425.000000 191 0 0
735426.000000 192 0 0
735427.000000 193 0 0
735428.000000 194 0 0
735429.000000 195 0 0
735430.000000 196 0 0
735431.000000 197 1 1
735432.000000 198 0 0
735433.000000 199 0 0
735434.000000 200 1 1
735435.000000 201 1 1
735436.000000 202 1 1
735437.000000 203 1 1
735438.000000 204 0 1
735439.000000 205 1 1
735440.000000 206 1 1
735441.000000 207 1 1
735442.000000 208 0 0
735443.000000 209 0 0
735444.000000 210 0 0
735445.000000 211 1 1
735446.000000 212 1 0
735447.000000 213 0 0
735448.000000 214 0 0
735449.000000 215 0 0
735450.000000 216 0 0
735451.000000 217 0 0
735452.000000 218 0 0
735453.000000 219 0 0
735454.000000 220 0 0
735455.000000 221 0 0
735456.000000 222 1 0
735457.000000 223 0 0
735459.000000 225 0 0
735460.000000 226 0 1
735461.000000 227 1 1
735462.000000 228 0 0
735463.000000 229 0 1
735464.000000 230 1 1
735465.000000 231 1 0
735466.000000 232 0 0
735468.000000 234 0 0
735469.000000 235 0 0
735470.000000 236 0 0
735471.000000 237 1 1
735472.000000 238 1 1
735473.000000 239 1 1
735474.000000 240 1 1
735475.000000 241 1 1
735476.000000 242 1 1
735477.000000 243 1 1
735478.000000 244 1 1
735479.000000 245 1 1
735480.000000 246 1 1
735481.000000 247 1 1
735482.000000 248 0 0
735483.000000 249 0 0
735484.000000 250 0 0
735485.000000 251 0 0
735486.000000 252 1 1
735487.000000 253 0 0
735488.000000 254 0 0
735489.000000 255 0 0
735490.000000 256 0 1
735491.000000 257 1 1
735492.000000 258 0 0
735493.000000 259 0 0
735494.000000 260 0 0
735495.000000 261 1 1
735496.000000 262 1 1
735497.000000 263 1 1
735498.000000 264 1 1
735499.000000 265 0 1
735500.000000 266 1 0
735501.000000 267 1 1
735502.000000 268 1 0
735503.000000 269 1 0
735504.000000 270 0 0
735505.000000 271 1 0
735506.000000 272 1 1
735507.000000 273 0 0
735508.000000 274 0 0
735509.000000 275 0 0
735511.000000 277 0 0
735512.000000 278 1 1
735513.000000 279 1 1
735514.000000 280 1 1
735515.000000 281 1 1
735516.000000 282 0 0
735517.000000 283 1 1
735518.000000 284 1 1
735519.000000 285 1 1
735520.000000 286 0 0
735521.000000 287 1 1
735522.000000 288 1 1
735523.000000 289 1 0
735524.000000 290 1 1
735525.000000 291 0 0
735526.000000 292 0 0
735527.000000 293 1 0
735528.000000 294 0 1
735529.000000 295 0 0
735530.000000 296 1 1
735531.000000 297 0 0
735536.000000 302 0 0
735537.000000 303 0 0
735538.000000 304 0 0
