%date dayj clear_AM clear_PM
735600.000000 001 1 1
735601.000000 002 1 1
735602.000000 003 1 1
735603.000000 004 1 0
735604.000000 005 1 1
735605.000000 006 1 1
735606.000000 007 1 0
735610.000000 011 0 0
735611.000000 012 1 0
735612.000000 013 0 0
735613.000000 014 0 0
735614.000000 015 0 0
735615.000000 016 0 0
735617.000000 018 0 0
735618.000000 019 0 0
735619.000000 020 0 0
735621.000000 022 0 0
735623.000000 024 0 0
735624.000000 025 0 0
735625.000000 026 1 1
735626.000000 027 1 1
735627.000000 028 0 0
735630.000000 031 1 1
735631.000000 032 1 1
735632.000000 033 0 0
735633.000000 034 1 0
735634.000000 035 1 1
735635.000000 036 1 1
735636.000000 037 0 0
735637.000000 038 0 0
735638.000000 039 1 1
735639.000000 040 0 0
735640.000000 041 0 0
735641.000000 042 1 1
735642.000000 043 0 0
735643.000000 044 0 0
735644.000000 045 0 0
735650.000000 051 0 0
735651.000000 052 0 0
735652.000000 053 1 1
735653.000000 054 0 0
735654.000000 055 1 1
735655.000000 056 1 1
735656.000000 057 1 1
735657.000000 058 1 1
735658.000000 059 1 1
735659.000000 060 1 1
735660.000000 061 1 1
735661.000000 062 1 1
735662.000000 063 0 0
735663.000000 064 0 0
735664.000000 065 0 0
735665.000000 066 1 1
735666.000000 067 0 0
735667.000000 068 0 0
735669.000000 070 1 0
735670.000000 071 0 0
735671.000000 072 0 0
735672.000000 073 0 0
735673.000000 074 0 1
735674.000000 075 1 1
735675.000000 076 1 1
735676.000000 077 0 1
735677.000000 078 1 1
735678.000000 079 1 1
735679.000000 080 1 0
735680.000000 081 0 1
735681.000000 082 1 1
735682.000000 083 1 1
735683.000000 084 1 1
735684.000000 085 0 1
735685.000000 086 1 0
735688.000000 089 0 0
735689.000000 090 0 0
735692.000000 093 0 1
735693.000000 094 0 1
735694.000000 095 1 1
735695.000000 096 1 1
735696.000000 097 0 0
735697.000000 098 0 0
735698.000000 099 0 0
735700.000000 101 0 0
735702.000000 103 0 0
735703.000000 104 0 0
735704.000000 105 0 0
735705.000000 106 0 0
735706.000000 107 0 0
735707.000000 108 0 0
735708.000000 109 0 0
735709.000000 110 0 0
735710.000000 111 0 1
735711.000000 112 0 0
735712.000000 113 1 1
735713.000000 114 0 0
735714.000000 115 1 1
735715.000000 116 0 1
735716.000000 117 1 1
735717.000000 118 1 1
735718.000000 119 0 0
735719.000000 120 1 0
735720.000000 121 1 1
735721.000000 122 1 1
735722.000000 123 1 1
735723.000000 124 0 0
735724.000000 125 1 1
735725.000000 126 0 0
735726.000000 127 1 1
735727.000000 128 0 1
735728.000000 129 0 1
735729.000000 130 1 1
735730.000000 131 1 1
735731.000000 132 1 1
735732.000000 133 0 0
735733.000000 134 0 0
735734.000000 135 0 0
735735.000000 136 1 1
735736.000000 137 1 1
735737.000000 138 1 1
735738.000000 139 1 1
735739.000000 140 1 1
735740.000000 141 1 1
735741.000000 142 1 1
735742.000000 143 1 1
735743.000000 144 1 0
735744.000000 145 0 0
735745.000000 146 0 0
735746.000000 147 1 1
735747.000000 148 1 1
735748.000000 149 1 1
735749.000000 150 1 1
735750.000000 151 0 0
735751.000000 152 1 0
735752.000000 153 0 0
735753.000000 154 0 0
735754.000000 155 0 0
735755.000000 156 1 1
735756.000000 157 1 1
735757.000000 158 1 1
735758.000000 159 1 1
735759.000000 160 0 1
735760.000000 161 1 1
735761.000000 162 1 1
735762.000000 163 1 0
735763.000000 164 1 1
735764.000000 165 1 0
735765.000000 166 1 0
735766.000000 167 1 1
735767.000000 168 1 1
735768.000000 169 1 1
735769.000000 170 1 1
