%Date etc_1_am etc_1_pm slope_1_am slope_1_pm  etc_2_am etc_2_pm slope_2_am slope_2_pm
736330.000000 1640.5    NaN  916.61     NaN 1633.7    NaN  917.20     NaN 
736332.000000 1606.5 1628.2  915.89  898.60 1598.3 1619.7  916.78  899.47 
736333.000000 1613.7 1616.9  873.64  878.07 1606.9 1609.2  874.24  878.64 
736336.000000 1599.1    NaN  882.54     NaN 1593.4    NaN  882.81     NaN 
736337.000000 1621.3    NaN  831.60     NaN 1614.0    NaN  832.38     NaN 
736339.000000 1577.7 1591.8  877.81  870.73 1569.1 1584.6  879.18  870.98 
736340.000000 1611.0 1635.0  849.73  834.30 1603.9 1627.2  850.29  834.89 
736341.000000    NaN 1615.9     NaN  872.77    NaN 1608.9     NaN  872.97 
736349.000000 1629.9    NaN  977.33     NaN 1623.5    NaN  977.83     NaN 
736351.000000 1640.5    NaN  881.89     NaN 1634.6    NaN  882.29     NaN 
736356.000000 1623.0    NaN  919.35     NaN 1616.3    NaN  919.99     NaN 
736360.000000 1621.7 1615.8  862.99  873.45 1616.5 1610.3  863.24  873.59 
736372.000000 1618.8    NaN  949.75     NaN 1611.6    NaN  950.51     NaN 
736375.000000 1611.7 1628.0  922.73  917.44 1606.6 1622.9  922.98  917.66 
736377.000000 1580.5    NaN  924.54     NaN 1574.2    NaN  925.05     NaN 
736390.000000 1600.0    NaN 1067.21     NaN 1593.8    NaN 1067.63     NaN 
736393.000000 1626.3    NaN  970.31     NaN 1620.7    NaN  970.75     NaN 
736396.000000 1602.6 1623.9 1058.55 1040.37 1596.9 1618.6 1059.20 1040.45 
736398.000000 1599.4    NaN 1156.82     NaN 1594.7    NaN 1156.96     NaN 
736400.000000 1599.7    NaN  977.70     NaN 1591.4    NaN  979.75     NaN 
736404.000000 1609.9 1624.6 1009.69  993.39 1602.0 1616.5 1010.73  993.89 
736408.000000 1602.5 1595.1  979.75  983.58 1595.7 1588.7  980.36  983.97 
736411.000000 1622.0    NaN 1103.44     NaN 1613.5    NaN 1106.06     NaN 
736416.000000 1617.3    NaN 1067.28     NaN 1610.3    NaN 1068.12     NaN 
736421.000000 1635.7    NaN  988.83     NaN 1628.1    NaN  989.83     NaN 
736424.000000    NaN 1634.4     NaN 1105.40    NaN 1628.8     NaN 1105.57 
736429.000000 1613.8    NaN 1006.00     NaN 1607.8    NaN 1006.48     NaN 
736432.000000    NaN 1629.5     NaN 1063.39    NaN 1622.8     NaN 1063.57 
736433.000000 1626.5    NaN 1037.42     NaN 1619.8    NaN 1038.19     NaN 
736440.000000 1604.7    NaN 1004.26     NaN 1599.0    NaN 1004.75     NaN 
736443.000000 1611.9    NaN  988.81     NaN 1604.5    NaN  989.60     NaN 
736463.000000    NaN 1624.8     NaN  997.88    NaN 1618.3     NaN  998.30 
736464.000000 1614.3    NaN 1011.40     NaN 1608.6    NaN 1011.74     NaN 
736465.000000 1609.9    NaN 1011.72     NaN 1602.7    NaN 1012.37     NaN 
736467.000000 1615.2    NaN 1047.08     NaN 1609.0    NaN 1047.58     NaN 
736468.000000 1601.0 1613.1 1058.72 1061.00 1594.4 1606.8 1059.39 1061.27 
736469.000000 1613.9 1595.3 1045.85 1081.93 1607.5 1587.7 1046.31 1082.17 
736471.000000 1609.4 1635.5 1111.37 1082.30 1603.4 1629.5 1111.67 1082.24 
736473.000000 1607.6 1626.8 1056.28 1030.62 1601.0 1617.8 1056.64 1031.20 
736474.000000 1620.6 1604.3 1024.81 1049.27 1612.9 1595.5 1025.62 1049.93 
736475.000000 1627.0 1613.5 1035.14 1036.17 1621.0 1606.1 1035.45 1036.41 
736479.000000 1610.9    NaN  943.34     NaN 1602.3    NaN  944.58     NaN 
736480.000000 1613.0 1612.4  952.50  959.32 1607.3 1605.2  952.77  959.64 
736481.000000 1621.6 1621.9  945.88  950.04 1613.8 1614.1  946.68  950.40 
736483.000000 1594.9 1630.0  970.04  953.08 1587.2 1622.5  970.81  953.57 
736484.000000    NaN 1615.3     NaN  977.29    NaN 1607.8     NaN  977.72 
736485.000000 1602.0 1625.5  979.90  970.06 1594.6 1618.2  980.59  970.33 
736487.000000 1618.0    NaN  981.17     NaN 1608.7    NaN  982.66     NaN 
736488.000000 1573.4    NaN  996.21     NaN 1566.2    NaN  996.71     NaN 
736494.000000    NaN 1611.9     NaN 1043.59    NaN 1602.6     NaN 1044.11 
736495.000000 1610.8    NaN 1025.86     NaN 1602.9    NaN 1026.71     NaN 
736496.000000 1622.3 1615.3  965.60  960.44 1616.6 1608.8  965.82  960.60 
736497.000000 1605.2    NaN  968.20     NaN 1599.1    NaN  968.59     NaN 
736499.000000 1610.2 1613.9  942.20  945.06 1602.7 1606.2  942.85  945.23 
736500.000000 1621.6 1622.8  941.56  944.51 1612.4 1613.3  942.64  945.16 
736501.000000 1625.9 1598.2  947.44  989.74 1618.8 1590.2  947.83  990.10 
736502.000000 1612.1 1611.9  980.21  993.36 1602.4 1601.9  981.63  993.77 
736508.000000 1598.0 1616.5 1021.99 1013.85 1591.5 1608.3 1022.41 1014.25 
736509.000000 1593.0 1606.0  982.21  985.53 1585.5 1597.3  982.89  985.62 
736510.000000 1617.3 1608.4  981.59  990.67 1609.2 1599.0  982.54  991.34 
736511.000000 1611.8 1595.4  999.10 1006.22 1605.8 1586.6  999.35 1006.84 
736512.000000 1611.7 1600.8  988.85 1004.92 1604.0 1592.3  989.64 1005.53 
736513.000000 1631.9 1617.1  974.88  991.43 1625.8 1609.0  975.13  991.94 
736514.000000    NaN 1630.1     NaN  968.91    NaN 1621.4     NaN  969.35 
736515.000000 1622.6 1615.2  964.23  986.53 1612.8 1604.4  965.38  987.46 
736516.000000 1616.7 1613.2  972.80  975.16 1606.1 1602.9  974.43  975.96 
736517.000000 1604.0 1606.7  969.36  967.96 1595.2 1598.1  970.36  968.52 
736518.000000 1608.8 1619.1  953.94  957.17 1601.3 1609.4  954.58  957.99 
736519.000000 1607.2 1611.8  973.70  975.80 1599.4 1603.0  974.40  976.29 
736520.000000 1606.6 1610.9  976.21  980.80 1599.0 1602.7  976.89  981.03 
736521.000000 1614.4    NaN  961.84     NaN 1606.7    NaN  962.58     NaN 
736522.000000 1605.1 1603.0  974.85  979.89 1598.7 1594.6  975.29  980.66 
736523.000000 1610.9    NaN  984.12     NaN 1603.7    NaN  984.68     NaN 
736528.000000 1613.5 1623.0  982.24  989.35 1604.9 1612.3  983.01  990.27 
736529.000000 1618.7    NaN  979.60     NaN 1609.8    NaN  980.54     NaN 
736539.000000 1615.4    NaN  992.70     NaN 1606.6    NaN  993.59     NaN 
736540.000000 1605.2    NaN  989.53     NaN 1596.1    NaN  990.50     NaN 
736544.000000 1608.8 1617.1  968.06  971.35 1599.7 1606.2  968.77  971.77 
736545.000000 1621.0    NaN  953.95     NaN 1612.3    NaN  954.57     NaN 
736549.000000 1625.0 1628.2  976.26  976.55 1617.6 1619.5  976.67  977.05 
736550.000000 1603.1 1630.1 1019.28 1009.35 1594.7 1621.1 1020.06 1009.66 
736554.000000 1616.1 1599.4  953.07  969.95 1607.4 1589.7  953.72  970.60 
736555.000000 1591.6 1602.5  968.34  974.72 1583.6 1593.6  968.94  975.25 
736556.000000 1618.5 1596.4  965.03  983.67 1611.8 1589.3  965.62  984.02 
736557.000000    NaN 1613.7     NaN  981.06    NaN 1604.3     NaN  981.74 
736558.000000 1613.2 1621.3  972.35  969.52 1604.8 1611.6  973.11  969.66 
736561.000000 1614.8 1609.9  980.49  993.83 1606.1 1599.7  981.44  994.79 
736562.000000 1617.1 1619.1  970.18  993.14 1609.6 1611.4  970.84  992.92 
736565.000000    NaN 1617.3     NaN  961.80    NaN 1608.7     NaN  962.19 
736566.000000 1613.2 1600.0  948.04  967.36 1604.7 1591.3  949.01  967.86 
736567.000000    NaN 1621.7     NaN  975.96    NaN 1610.4     NaN  977.08 
736568.000000 1616.9 1622.2  967.81  968.20 1608.9 1612.8  968.56  968.55 
736573.000000 1631.8 1604.5  937.98  979.42 1624.6 1595.3  938.67  980.18 
736574.000000 1609.0 1607.6  995.93 1004.66 1601.7 1601.0  996.50 1004.33 
736575.000000 1606.0    NaN 1019.21     NaN 1597.3    NaN 1020.16     NaN 
736576.000000    NaN 1605.0     NaN  976.68    NaN 1595.5     NaN  977.18 
736579.000000 1598.4    NaN  959.19     NaN 1590.1    NaN  959.90     NaN 
736580.000000 1619.8 1621.8  972.54  967.77 1610.5 1612.7  973.66  968.03 
736581.000000 1596.3 1625.2  967.53  926.40 1586.1 1615.2  968.74  927.16 
736582.000000 1611.0 1612.1  925.37  924.94 1602.6 1602.3  926.23  925.37 
736583.000000 1627.7 1604.4  922.32  941.64 1617.7 1593.9  923.55  942.59 
