%Date etc_1_am etc_1_pm slope_1_am slope_1_pm  etc_2_am etc_2_pm slope_2_am slope_2_pm detc_1_am detc_1_pm dslope_1_am dslope_1_pm  detc_2_am detc_2_pm dslope_2_am dslope_2_p
736330.000000 1648.2    NaN  929.64     NaN 1648.2    NaN  929.64     NaN    15.6    NaN  930.92     NaN   15.6    NaN  930.92     NaN 
736332.000000 1615.3 1638.9  927.49  909.75 1615.3 1638.9  927.49  909.75   -13.0    6.6  926.89  911.05  -13.0    6.6  926.89  911.05 
736333.000000 1629.2    NaN  881.58     NaN 1629.2    NaN  881.58     NaN    -1.5    NaN  881.94     NaN   -1.5    NaN  881.94     NaN 
736336.000000 1612.7    NaN  893.22     NaN 1612.7    NaN  893.22     NaN   -16.6    NaN  892.89     NaN  -16.6    NaN  892.89     NaN 
736337.000000 1628.8    NaN  843.59     NaN 1628.8    NaN  843.59     NaN    -4.2    NaN  844.98     NaN   -4.2    NaN  844.98     NaN 
736339.000000    NaN 1604.5     NaN  881.27    NaN 1604.5     NaN  881.27     NaN  -23.1     NaN  879.81    NaN  -23.1     NaN  879.81 
736340.000000 1626.3 1652.0  858.04  842.89 1626.3 1652.0  858.04  842.89    -7.4   24.0  860.01  841.79   -7.4   24.0  860.01  841.79 
736341.000000    NaN 1632.7     NaN  880.54    NaN 1632.7     NaN  880.54     NaN   -1.7     NaN  882.83    NaN   -1.7     NaN  882.83 
736349.000000 1627.2    NaN  998.60     NaN 1627.2    NaN  998.60     NaN     0.9    NaN  996.76     NaN    0.9    NaN  996.76     NaN 
736350.000000    NaN 1658.6     NaN  944.47    NaN 1658.6     NaN  944.47     NaN   27.8     NaN  944.48    NaN   27.8     NaN  944.48 
736351.000000 1633.0 1649.7  901.96  896.37 1633.0 1649.7  901.96  896.37     2.6   17.9  901.82  897.39    2.6   17.9  901.82  897.39 
736356.000000 1616.8    NaN  940.55     NaN 1616.8    NaN  940.55     NaN   -12.9    NaN  940.49     NaN  -12.9    NaN  940.49     NaN 
736360.000000 1629.5 1612.2  877.94  890.34 1629.5 1612.2  877.94  890.34    -3.1  -17.9  878.88  890.28   -3.1  -17.9  878.88  890.28 
736371.000000 1635.7    NaN  960.41     NaN 1635.7    NaN  960.41     NaN     7.2    NaN  959.70     NaN    7.2    NaN  959.70     NaN 
736372.000000 1601.3    NaN  976.07     NaN 1601.3    NaN  976.07     NaN   -23.4    NaN  974.18     NaN  -23.4    NaN  974.18     NaN 
736375.000000 1614.5 1630.6  939.76  933.30 1614.5 1630.6  939.76  933.30   -16.6   -5.0  940.27  936.15  -16.6   -5.0  940.27  936.15 
736393.000000 1639.7    NaN  983.47     NaN 1639.7    NaN  983.47     NaN    15.1    NaN  980.69     NaN   15.1    NaN  980.69     NaN 
736396.000000    NaN 1623.1     NaN 1059.39    NaN 1623.1     NaN 1059.39     NaN   -8.3     NaN 1060.01    NaN   -8.3     NaN 1060.01 
736399.000000 1613.4 1667.3 1053.24 1019.16 1613.4 1667.3 1053.24 1019.16   -15.3   41.4 1052.42 1016.22  -15.3   41.4 1052.42 1016.22 
736404.000000 1633.3 1651.2 1015.68  998.42 1633.3 1651.2 1015.68  998.42     4.4   23.3 1015.00  997.29    4.4   23.3 1015.00  997.29 
736408.000000    NaN 1599.8     NaN  998.65    NaN 1599.8     NaN  998.65     NaN  -29.9     NaN  998.43    NaN  -29.9     NaN  998.43 
736415.000000    NaN 1619.9     NaN 1029.62    NaN 1619.9     NaN 1029.62     NaN  -15.5     NaN 1032.63    NaN  -15.5     NaN 1032.63 
736416.000000 1643.5    NaN 1073.13     NaN 1643.5    NaN 1073.13     NaN     6.5    NaN 1076.56     NaN    6.5    NaN 1076.56     NaN 
736418.000000 1652.3 1621.4  998.61 1032.91 1652.3 1621.4  998.61 1032.91    24.5  -12.7  997.58 1035.38   24.5  -12.7  997.58 1035.38 
736421.000000    NaN 1617.0     NaN 1015.09    NaN 1617.0     NaN 1015.09     NaN  -15.5     NaN 1016.32    NaN  -15.5     NaN 1016.32 
736422.000000    NaN 1637.3     NaN 1118.41    NaN 1637.3     NaN 1118.41     NaN    3.3     NaN 1120.48    NaN    3.3     NaN 1120.48 
736429.000000 1618.2    NaN 1021.63     NaN 1618.2    NaN 1021.63     NaN   -13.1    NaN 1022.69     NaN  -13.1    NaN 1022.69     NaN 
736431.000000 1649.3    NaN 1049.07     NaN 1649.3    NaN 1049.07     NaN    19.3    NaN 1049.03     NaN   19.3    NaN 1049.03     NaN 
736433.000000 1645.4    NaN 1045.39     NaN 1645.4    NaN 1045.39     NaN    13.2    NaN 1046.81     NaN   13.2    NaN 1046.81     NaN 
736469.000000 1620.2    NaN 1060.36     NaN 1620.2    NaN 1060.36     NaN    -8.8    NaN 1059.87     NaN   -8.8    NaN 1059.87     NaN 
736471.000000 1628.4    NaN 1123.06     NaN 1628.4    NaN 1123.06     NaN     1.9    NaN 1121.60     NaN    1.9    NaN 1121.60     NaN 
736473.000000 1628.2    NaN 1064.19     NaN 1628.2    NaN 1064.19     NaN     0.0    NaN 1062.85     NaN    0.0    NaN 1062.85     NaN 
736475.000000 1646.9    NaN 1045.84     NaN 1646.9    NaN 1045.84     NaN     9.8    NaN 1049.39     NaN    9.8    NaN 1049.39     NaN 
736483.000000 1604.2    NaN  983.69     NaN 1604.2    NaN  983.69     NaN   -31.2    NaN  985.85     NaN  -31.2    NaN  985.85     NaN 
736488.000000 1613.2    NaN  995.37     NaN 1613.2    NaN  995.37     NaN   -13.5    NaN  994.01     NaN  -13.5    NaN  994.01     NaN 
736490.000000 1638.1    NaN  995.09     NaN 1638.1    NaN  995.09     NaN     6.2    NaN  996.19     NaN    6.2    NaN  996.19     NaN 
736493.000000 1650.6    NaN 1027.55     NaN 1650.6    NaN 1027.55     NaN    16.3    NaN 1030.21     NaN   16.3    NaN 1030.21     NaN 
