%Date sza m2 temp nd O3_1 std ms9_corr ms9 O3_2 std O3_1_sl std R6_ref R6_calc
732416.689486 71.657 3.0897 18 192 152.5  0.77 3199.5 3199.5 152.5  0.77   NaN   NaN 310.0   NaN
732418.485264 27.227 1.1236 19 256 293.5  2.32 2715.6 2715.6 293.5  2.32 293.3  2.32 310.0 311.0
732418.512651 21.201 1.0721 19 256 307.4  0.88 2714.7 2714.7 307.4  0.88 307.1  0.88 310.0 311.0
732418.530744 18.718 1.0554 19 256 304.2  1.23 2685.5 2685.5 304.2  1.23 303.9  1.23 310.0 311.0
732418.535014 18.381 1.0534 20 256 304.1  1.90 2683.2 2683.2 304.1  1.90 303.8  1.90 310.0 311.0
732418.602935 26.419 1.1157 20 256 303.7  1.31 2746.5 2746.5 303.7  1.31 303.5  1.31 310.0 311.0
732418.615319 29.608 1.1490 20 256 301.3  1.31 2771.5 2771.5 301.3  1.31 301.0  1.31 310.0 311.0
732418.623674 31.886 1.1763 20 256 302.6  1.07 2804.9 2804.9 302.6  1.07 302.3  1.07 310.0 311.0
732418.664868 43.996 1.3859 20 192 308.2  1.63 3048.9 3048.9 308.2  1.63 308.0  1.63 310.0 311.0
732418.674742 47.028 1.4617 20 192 308.2  0.80 3128.4 3128.4 308.2  0.80 308.0  0.80 310.0 311.0
732418.685294 50.300 1.5583 20 192 307.8  1.74 3228.2 3228.2 307.8  1.74 307.6  1.74 310.0 311.0
732418.689558 51.630 1.6028 20 192 307.4  0.47 3272.8 3272.8 307.4  0.47 307.2  0.47 310.0 311.0
732418.704319 56.256 1.7875 20 192 308.5  1.20 3474.0 3474.0 308.5  1.20 308.3  1.20 310.0 311.0
732418.710828 58.305 1.8876 20 192 307.7  1.17 3574.9 3574.9 307.7  1.17 307.6  1.17 310.0 311.0
732418.725597 62.968 2.1739 19 192 309.1  1.86 3886.4 3886.4 309.1  1.86 309.0  1.86 310.0 311.0
732418.732111 65.028 2.3347 19 192 308.3  1.35 4050.2 4050.2 308.3  1.35 308.2  1.35 310.0 311.0
732418.735200 66.005 2.4206 20 192 308.9  2.30 4146.1 4146.1 308.9  2.30 308.8  2.30 310.0 311.0
732418.743525 68.637 2.6900 19 128 307.5  0.78 4417.7 4417.7 307.5  0.78 307.4  0.78 310.0 311.0
732418.767014 76.048 3.9501 19 64 305.3  0.80 5713.8 5713.8 305.3  0.80 305.2  0.80 310.0 311.0
732418.783268 81.136 5.7805 18 0 306.4  0.77 7647.9 7647.9 306.4  0.77 306.4  0.77 310.0 311.0
732420.352992 66.642 2.4804 18 128 305.4  0.38 4179.3 4179.3 305.4  0.38 305.3  0.39 310.0 310.7
732420.361260 64.024 2.2532 19 128 303.7  0.83 3928.6 3928.6 303.7  0.83 303.6  0.83 310.0 310.7
732420.375451 59.534 1.9544 19 192 303.9  1.23 3619.3 3619.3 303.9  1.23 303.8  1.23 310.0 310.7
732420.377854 58.774 1.9125 19 192 304.5  0.72 3579.8 3579.8 304.5  0.72 304.4  0.72 310.0 310.7
732420.389264 55.175 1.7396 19 192 302.9  1.03 3390.2 3390.2 302.9  1.03 302.8  1.02 310.0 310.7
732420.409090 48.960 1.5166 20 192 302.1  1.48 3154.9 3154.9 302.1  1.48 302.0  1.48 310.0 310.7
732420.424971 44.044 1.3870 20 192 301.2  0.77 3016.8 3016.8 301.2  0.77 301.1  0.77 310.0 310.7
732420.444886 38.006 1.2666 22 256 302.3  2.47 2897.4 2897.4 302.3  2.47 302.2  2.47 310.0 310.7
732420.449174 36.732 1.2455 22 256 301.1  2.28 2870.5 2870.5 301.1  2.28 301.0  2.28 310.0 310.7
732420.615938 29.406 1.1467 22 256 294.8  1.31 2743.9 2743.9 294.8  1.31 294.6  1.31 310.0 310.7
732420.624333 31.729 1.1743 22 256 295.3  1.70 2773.8 2773.8 295.3  1.70 295.2  1.70 310.0 310.7
732420.665604 43.968 1.3853 20 192 299.0  0.92 3004.5 3004.5 299.0  0.92 298.9  0.92 310.0 310.7
732420.675465 47.010 1.4612 20 192 298.4  1.09 3079.2 3079.2 298.4  1.09 298.3  1.09 310.0 310.7
732420.686056 50.306 1.5585 20 192 299.6  1.41 3184.7 3184.7 299.6  1.41 299.5  1.41 310.0 310.7
732420.690326 51.642 1.6032 20 192 300.0  1.47 3232.9 3232.9 300.0  1.47 299.9  1.47 310.0 310.7
732420.701722 55.219 1.7416 20 192 299.5  0.84 3372.0 3372.0 299.5  0.84 299.4  0.84 310.0 310.7
732420.708222 57.267 1.8353 20 192 299.2  1.85 3466.4 3466.4 299.2  1.85 299.1  1.85 310.0 310.7
732420.723468 62.083 2.1121 20 192 301.1  0.73 3763.5 3763.5 301.1  0.73 301.0  0.73 310.0 310.7
732420.729979 64.142 2.2624 20 192 300.3  0.96 3912.3 3912.3 300.3  0.96 300.3  0.96 310.0 310.7
732420.734696 65.634 2.3872 20 192 301.3  1.74 4048.1 4048.1 301.3  1.74 301.2  1.74 310.0 310.7
732420.743028 68.269 2.6485 19 128 302.1  0.43 4325.1 4325.1 302.1  0.43 302.0  0.43 310.0 310.7
732420.766569 75.693 3.8632 19 64 302.4  0.61 5584.2 5584.2 302.4  0.61 302.3  0.61 310.0 310.7
732420.782832 80.780 5.6040 19 0 302.4  1.29 7386.1 7386.1 302.4  1.29 302.4  1.29 310.0 310.7
732421.376154 59.109 1.9307 18 192 302.8  0.80 3587.3 3587.3 302.8  0.80 302.6  0.80 310.0 310.9
732421.378561 58.348 1.8899 18 192 302.5  1.39 3543.5 3543.5 302.5  1.39 302.4  1.39 310.0 310.9
732421.389965 54.749 1.7217 18 192 302.1  1.48 3366.6 3366.6 302.1  1.48 301.9  1.48 310.0 310.9
732421.401847 51.015 1.5818 18 192 301.8  1.19 3220.5 3220.5 301.8  1.19 301.6  1.19 310.0 310.9
732421.417715 46.068 1.4364 19 192 303.1  1.84 3077.0 3077.0 303.1  1.84 302.9  1.84 310.0 310.9
732421.446340 37.341 1.2555 19 256 303.2  1.45 2889.8 2889.8 303.2  1.45 303.0  1.45 310.0 310.9
732421.491042 24.925 1.1019 19 256 299.5  0.46 2716.3 2716.3 299.5  0.46 299.2  0.46 310.0 310.9
732421.513411 20.078 1.0642 19 256 300.2  1.84 2680.4 2680.4 300.2  1.84 300.0  1.84 310.0 310.9
732421.535799 17.270 1.0469 19 256 301.0  1.83 2665.4 2665.4 301.0  1.83 300.8  1.83 310.0 310.9
732421.540067 17.064 1.0457 19 256 299.9  2.18 2660.2 2660.2 299.9  2.18 299.6  2.18 310.0 310.9
