%date dayj clear_AM clear_PM
734139.000000 001 0 0
734140.000000 002 0 0
734141.000000 003 0 0
734142.000000 004 0 0
734149.000000 011 0 0
734150.000000 012 0 0
734151.000000 013 0 0
734152.000000 014 0 0
734153.000000 015 0 0
734154.000000 016 1 1
734155.000000 017 0 1
734156.000000 018 0 0
734157.000000 019 0 1
734158.000000 020 0 1
734159.000000 021 0 0
734160.000000 022 0 0
734161.000000 023 0 0
734162.000000 024 0 0
734163.000000 025 0 0
734164.000000 026 1 1
734165.000000 027 0 0
734173.000000 035 1 0
734174.000000 036 0 1
734175.000000 037 1 1
734176.000000 038 0 0
734179.000000 041 0 0
734181.000000 043 1 0
734182.000000 044 0 0
734183.000000 045 0 0
734192.000000 054 0 0
734193.000000 055 0 0
734194.000000 056 1 0
734202.000000 064 0 0
734206.000000 068 0 0
734207.000000 069 0 0
734209.000000 071 0 0
734210.000000 072 0 0
734211.000000 073 1 0
734212.000000 074 0 0
734213.000000 075 0 0
734214.000000 076 0 0
734215.000000 077 0 0
734217.000000 079 0 0
734218.000000 080 0 1
734219.000000 081 0 1
734220.000000 082 1 1
734221.000000 083 1 0
734222.000000 084 0 0
734223.000000 085 1 1
734224.000000 086 0 0
734225.000000 087 0 0
734226.000000 088 0 0
734227.000000 089 1 1
734229.000000 091 0 0
734231.000000 093 0 0
734232.000000 094 0 0
734233.000000 095 1 0
734234.000000 096 0 0
734236.000000 098 0 0
734238.000000 100 0 1
734239.000000 101 1 1
734240.000000 102 0 0
734241.000000 103 0 0
734242.000000 104 0 0
734243.000000 105 0 0
734244.000000 106 0 0
734245.000000 107 0 0
734246.000000 108 0 0
734248.000000 110 0 0
734249.000000 111 1 1
734250.000000 112 0 0
734251.000000 113 0 0
734252.000000 114 0 0
734253.000000 115 1 1
734254.000000 116 1 0
734255.000000 117 0 0
734256.000000 118 0 0
734257.000000 119 0 0
734258.000000 120 0 0
734259.000000 121 0 0
734260.000000 122 0 0
734261.000000 123 0 0
734262.000000 124 0 0
734263.000000 125 0 0
734264.000000 126 1 1
734265.000000 127 1 0
734266.000000 128 0 0
734267.000000 129 0 0
734268.000000 130 0 0
734269.000000 131 0 0
734272.000000 134 0 0
734273.000000 135 1 1
734274.000000 136 1 1
734275.000000 137 1 1
734276.000000 138 1 1
734277.000000 139 1 0
734278.000000 140 1 1
734279.000000 141 0 0
734280.000000 142 0 0
734281.000000 143 1 1
734282.000000 144 1 1
734283.000000 145 0 0
734284.000000 146 0 1
734285.000000 147 1 1
734286.000000 148 1 1
734287.000000 149 0 1
734288.000000 150 1 1
734289.000000 151 0 0
734290.000000 152 0 0
734291.000000 153 0 0
734292.000000 154 0 0
734293.000000 155 0 0
734294.000000 156 1 1
734295.000000 157 1 1
734296.000000 158 1 0
734297.000000 159 0 1
734298.000000 160 1 1
734299.000000 161 0 1
734300.000000 162 1 1
734301.000000 163 1 1
734302.000000 164 1 1
734303.000000 165 1 1
734304.000000 166 1 1
734305.000000 167 1 1
734306.000000 168 1 1
734307.000000 169 1 1
734308.000000 170 1 1
734309.000000 171 1 1
734310.000000 172 1 1
734311.000000 173 1 1
734312.000000 174 1 1
734313.000000 175 1 1
734314.000000 176 1 1
734315.000000 177 0 0
734316.000000 178 1 1
734317.000000 179 1 1
734318.000000 180 1 1
734319.000000 181 1 1
734320.000000 182 1 1
734321.000000 183 1 1
734322.000000 184 1 1
734323.000000 185 1 1
734324.000000 186 1 1
734325.000000 187 1 1
734326.000000 188 1 1
734327.000000 189 1 0
734328.000000 190 0 0
734329.000000 191 0 0
734330.000000 192 0 0
734331.000000 193 0 0
734332.000000 194 0 0
734333.000000 195 1 1
734334.000000 196 1 1
734335.000000 197 1 1
734336.000000 198 1 1
734337.000000 199 0 0
734338.000000 200 0 0
734339.000000 201 1 1
734340.000000 202 1 1
734341.000000 203 0 0
734342.000000 204 1 1
734343.000000 205 0 0
734344.000000 206 0 0
734345.000000 207 1 1
734346.000000 208 1 1
734347.000000 209 1 0
734348.000000 210 0 0
734349.000000 211 0 0
734350.000000 212 0 0
734351.000000 213 1 1
734352.000000 214 0 0
734353.000000 215 0 0
734354.000000 216 0 0
734355.000000 217 0 0
734356.000000 218 0 0
734357.000000 219 1 1
734358.000000 220 1 1
734359.000000 221 0 0
734360.000000 222 0 0
734361.000000 223 0 0
734362.000000 224 0 0
734363.000000 225 1 1
734364.000000 226 1 1
734365.000000 227 0 0
734367.000000 229 1 1
734368.000000 230 1 1
734369.000000 231 1 1
734370.000000 232 1 1
734371.000000 233 1 1
734372.000000 234 1 1
734373.000000 235 1 1
734374.000000 236 0 0
734375.000000 237 0 0
734376.000000 238 0 0
734377.000000 239 0 0
734378.000000 240 0 0
734379.000000 241 0 0
734380.000000 242 0 0
734381.000000 243 1 0
734382.000000 244 1 1
734383.000000 245 1 1
734384.000000 246 1 1
734385.000000 247 1 1
734386.000000 248 0 0
734387.000000 249 0 0
734388.000000 250 1 1
734389.000000 251 1 0
734390.000000 252 1 1
734391.000000 253 1 1
734392.000000 254 1 1
734393.000000 255 0 0
734394.000000 256 0 0
734398.000000 260 1 1
734399.000000 261 0 0
734400.000000 262 0 0
734401.000000 263 1 0
734402.000000 264 0 0
734407.000000 269 0 0
734408.000000 270 0 0
734409.000000 271 1 0
734410.000000 272 1 0
734411.000000 273 1 1
734412.000000 274 1 0
734413.000000 275 0 0
734414.000000 276 0 0
734415.000000 277 1 0
734416.000000 278 1 1
734417.000000 279 0 0
734418.000000 280 0 0
734419.000000 281 0 0
734420.000000 282 0 1
734421.000000 283 0 0
734425.000000 287 0 0
734426.000000 288 0 0
734427.000000 289 0 0
734428.000000 290 0 0
734430.000000 292 0 0
734431.000000 293 0 0
734432.000000 294 0 0
734433.000000 295 0 0
734434.000000 296 0 0
734436.000000 298 1 1
734437.000000 299 1 1
734438.000000 300 1 1
734439.000000 301 1 1
734440.000000 302 0 0
734441.000000 303 1 1
734442.000000 304 1 1
734443.000000 305 1 1
734444.000000 306 0 1
734446.000000 308 1 1
734447.000000 309 1 1
734448.000000 310 1 0
734449.000000 311 1 0
734450.000000 312 0 0
734451.000000 313 0 0
734452.000000 314 0 0
734453.000000 315 1 1
734454.000000 316 1 1
734455.000000 317 1 1
734456.000000 318 0 0
734458.000000 320 0 1
734459.000000 321 1 1
734460.000000 322 0 0
734461.000000 323 0 0
734463.000000 325 0 0
734464.000000 326 0 0
734465.000000 327 0 0
734466.000000 328 0 0
734468.000000 330 0 0
734475.000000 337 0 0
734479.000000 341 0 0
734483.000000 345 0 0
734488.000000 350 0 0
734489.000000 351 0 0
734490.000000 352 0 0
734491.000000 353 1 0
734492.000000 354 0 0
734493.000000 355 0 0
734495.000000 357 1 0
734496.000000 358 1 1
734497.000000 359 1 0
734502.000000 364 0 0
734503.000000 365 0 0
