%Date etc_1_am etc_1_pm slope_1_am slope_1_pm  etc_2_am etc_2_pm slope_2_am slope_2_pm detc_1_am detc_1_pm dslope_1_am dslope_1_pm  detc_2_am detc_2_pm dslope_2_am dslope_2_p
736330.000000 1587.5    NaN  933.29     NaN 1587.9    NaN  933.06     NaN    14.6    NaN  934.54     NaN   15.7    NaN  934.08     NaN 
736332.000000 1567.6 1584.5  924.19  909.49 1569.3 1585.2  923.46  909.28    -3.8   14.4  924.88  909.63   -2.1   14.9  924.20  909.40 
736333.000000 1577.5 1581.6  882.26  885.06 1578.5 1582.9  881.76  884.31     9.8   10.9  881.45  885.18   11.3   11.4  880.77  885.00 
736336.000000 1558.1    NaN  891.96     NaN 1559.4    NaN  891.52     NaN   -10.4    NaN  891.40     NaN   -9.2    NaN  890.88     NaN 
736337.000000 1574.4    NaN  842.10     NaN 1576.4    NaN  841.39     NaN     2.6    NaN  842.76     NaN    6.6    NaN  841.45     NaN 
736339.000000 1524.4 1547.1  891.71  882.17 1526.8 1548.4  890.73  881.71   -46.6  -26.4  891.95  883.92  -43.3  -23.6  890.68  882.84 
736340.000000 1554.3    NaN  865.49     NaN 1554.6    NaN  865.46     NaN   -20.6    NaN  867.68     NaN  -20.9    NaN  867.91     NaN 
736341.000000    NaN 1576.9     NaN  880.35    NaN 1577.3     NaN  880.33     NaN    2.7     NaN  882.49    NaN    4.8     NaN  881.69 
736372.000000 1553.8    NaN  973.99     NaN 1555.6    NaN  973.32     NaN   -17.2    NaN  974.57     NaN  -16.1    NaN  974.20     NaN 
736375.000000 1559.6    NaN  940.61     NaN 1561.1    NaN  940.05     NaN   -10.2    NaN  940.62     NaN   -9.3    NaN  940.34     NaN 
736377.000000 1538.5    NaN  936.49     NaN 1540.7    NaN  935.56     NaN   -31.0    NaN  936.50     NaN  -29.5    NaN  935.98     NaN 
736384.000000    NaN 1536.5     NaN  956.43    NaN 1538.9     NaN  955.36     NaN  -35.5     NaN  957.59    NaN  -33.2     NaN  956.60 
736386.000000    NaN 1559.3     NaN 1028.75    NaN 1561.1     NaN 1027.76     NaN  -13.0     NaN 1029.89    NaN  -10.6     NaN 1028.92 
736387.000000    NaN 1566.9     NaN 1020.38    NaN 1568.5     NaN 1019.78     NaN   -3.4     NaN 1020.47    NaN   -1.4     NaN 1019.68 
736390.000000 1531.5    NaN 1097.64     NaN 1533.1    NaN 1096.90     NaN   -40.5    NaN 1098.71     NaN  -39.3    NaN 1098.24     NaN 
736393.000000 1553.3    NaN 1000.47     NaN 1555.5    NaN  999.60     NaN   -11.7    NaN  998.22     NaN   -9.4    NaN  997.29     NaN 
736396.000000 1533.1    NaN 1091.79     NaN 1535.6    NaN 1090.66     NaN   -33.6    NaN 1090.12     NaN  -30.6    NaN 1088.84     NaN 
736400.000000 1571.0    NaN  980.87     NaN 1575.5    NaN  977.99     NaN    -0.1    NaN  981.74     NaN    1.0    NaN  981.58     NaN 
736408.000000    NaN 1552.1     NaN  995.65    NaN 1553.5     NaN  995.02     NaN  -16.9     NaN  995.03    NaN  -14.7     NaN  994.08 
736417.000000 1530.5 1570.3 1028.49 1003.53 1532.4 1571.9 1027.78 1002.89   -38.7   -1.4 1027.95 1004.71  -36.4    1.8 1027.09 1003.21 
736421.000000    NaN 1556.5     NaN 1017.42    NaN 1558.5     NaN 1016.46     NaN   -9.8     NaN 1015.08    NaN   -7.3     NaN 1014.06 
736422.000000    NaN 1563.0     NaN 1126.06    NaN 1564.8     NaN 1125.37     NaN   -9.2     NaN 1127.38    NaN   -7.9     NaN 1126.75 
736424.000000 1550.5    NaN 1156.25     NaN 1552.6    NaN 1155.42     NaN   -24.0    NaN 1158.86     NaN  -21.9    NaN 1157.82     NaN 
736426.000000    NaN 1542.2     NaN 1126.11    NaN 1543.6     NaN 1125.59     NaN  -27.0     NaN 1125.70    NaN  -25.7     NaN 1125.34 
736429.000000 1567.3 1556.4 1020.54 1031.54 1569.4 1557.8 1019.58 1030.92    -4.3  -14.8 1021.34 1032.20   -2.4  -12.4 1020.49 1031.34 
736430.000000    NaN 1539.4     NaN 1051.57    NaN 1542.1     NaN 1050.13     NaN  -27.0     NaN 1049.91    NaN  -27.1     NaN 1049.95 
736431.000000    NaN 1544.4     NaN 1104.69    NaN 1547.5     NaN 1102.99     NaN  -21.1     NaN 1102.52    NaN  -18.8     NaN 1101.53 
736464.000000    NaN 1557.2     NaN 1030.62    NaN 1558.8     NaN 1029.96     NaN  -17.9     NaN 1033.82    NaN  -16.6     NaN 1033.37 
736465.000000 1568.3    NaN 1022.02     NaN 1570.1    NaN 1021.27     NaN    -0.8    NaN 1021.68     NaN    0.8    NaN 1020.94     NaN 
736466.000000    NaN 1539.0     NaN 1084.13    NaN 1539.8     NaN 1083.88     NaN  -30.6     NaN 1083.65    NaN  -29.4     NaN 1083.25 
736467.000000    NaN 1540.6     NaN 1084.97    NaN 1541.7     NaN 1084.60     NaN  -27.8     NaN 1084.06    NaN  -25.6     NaN 1082.99 
736468.000000 1564.3 1568.9 1068.13 1072.26 1566.7 1572.1 1067.19 1070.58    -1.2   -5.5 1066.05 1074.60   -1.5   -3.8 1066.13 1073.80 
736469.000000    NaN 1549.4     NaN 1094.60    NaN 1551.7     NaN 1093.62     NaN  -21.3     NaN 1095.00    NaN  -19.4     NaN 1094.18 
736470.000000 1552.5    NaN 1093.52     NaN 1554.1    NaN 1092.83     NaN   -18.1    NaN 1093.87     NaN  -15.1    NaN 1092.50     NaN 
736474.000000    NaN 1559.5     NaN 1061.50    NaN 1562.5     NaN 1060.01     NaN   -9.8     NaN 1061.03    NaN   -7.8     NaN 1060.19 
736479.000000 1566.5    NaN  954.38     NaN 1569.0    NaN  953.16     NaN    -2.5    NaN  953.86     NaN   -0.3    NaN  953.06     NaN 
736480.000000 1577.2 1566.5  959.58  969.22 1579.6 1568.3  958.58  968.66     5.3   -3.6  960.71  969.58    7.4   -2.2  959.80  969.15 
736481.000000 1575.7 1577.5  956.87  960.81 1577.4 1579.2  956.01  960.07     3.1    8.3  958.12  960.51    5.9   10.5  956.87  959.64 
736483.000000 1555.6    NaN  979.00     NaN 1557.2    NaN  978.32     NaN   -10.7    NaN  977.47     NaN  -10.3    NaN  977.10     NaN 
736485.000000 1560.1    NaN  990.70     NaN 1561.9    NaN  989.66     NaN    -1.4    NaN  985.89     NaN    0.1    NaN  985.16     NaN 
736487.000000 1571.9    NaN  993.68     NaN 1573.2    NaN  993.10     NaN    -3.8    NaN  996.86     NaN   -1.9    NaN  996.04     NaN 
736488.000000 1551.4    NaN  999.41     NaN 1552.8    NaN  998.95     NaN   -15.4    NaN  998.12     NaN  -14.2    NaN  997.55     NaN 
736489.000000 1571.9 1559.6  993.64 1001.58 1574.4 1561.3  992.49 1000.74     0.7   -9.7  994.26 1000.97    3.1   -7.4  993.21  999.95 
736490.000000    NaN 1570.8     NaN 1014.32    NaN 1572.0     NaN 1013.69     NaN   -3.0     NaN 1016.23    NaN   -1.7     NaN 1015.56 
736491.000000    NaN 1534.2     NaN 1013.39    NaN 1536.5     NaN 1012.42     NaN  -38.9     NaN 1015.07    NaN  -36.8     NaN 1014.27 
736493.000000    NaN 1569.4     NaN 1045.19    NaN 1570.9     NaN 1044.80     NaN   -1.7     NaN 1045.88    NaN    0.6     NaN 1044.91 
736494.000000    NaN 1564.5     NaN 1055.72    NaN 1566.2     NaN 1054.93     NaN   -0.6     NaN 1053.03    NaN    1.0     NaN 1052.25 
736500.000000    NaN 1574.5     NaN  956.99    NaN 1576.5     NaN  956.08     NaN    2.7     NaN  957.53    NaN    4.9     NaN  956.67 
736501.000000 1588.8    NaN  956.05     NaN 1590.6    NaN  955.33     NaN    16.4    NaN  956.97     NaN   18.2    NaN  956.15     NaN 
736509.000000 1533.0 1556.6 1074.12 1049.25 1534.3 1558.5 1073.62 1048.23   -35.2  -16.7 1073.35 1051.36  -34.4  -14.7 1072.96 1050.29 
736518.000000    NaN 1559.3     NaN 1097.63    NaN 1562.6     NaN 1095.91     NaN  -13.4     NaN 1099.42    NaN  -11.1     NaN 1098.41 
736528.000000 1571.4 1577.6  991.60 1000.38 1571.4 1577.6  991.60 1000.38    -0.7    3.4  990.17  999.83    4.3    8.4  990.17  999.83 
736540.000000 1570.6 1578.6  996.63  988.40 1570.6 1578.6  996.63  988.40    -5.9    2.8  997.48  988.84   -0.9    7.8  997.48  988.84 
736544.000000 1570.9 1570.2  976.48  982.18 1570.9 1570.2  976.48  982.18    -4.6   -5.9  976.76  982.39    0.4   -0.9  976.76  982.39 
736550.000000 1567.0    NaN 1026.70     NaN 1567.0    NaN 1026.70     NaN    -1.9    NaN 1023.57     NaN    3.1    NaN 1023.57     NaN 
736554.000000 1572.6 1567.7  963.86  974.74 1572.6 1567.7  963.86  974.74    -1.1   -7.6  963.40  974.85    3.9   -2.6  963.40  974.85 
736555.000000 1557.4 1573.0  975.41  978.67 1557.4 1573.0  975.41  978.67   -14.1   -4.1  973.58  979.49   -9.1    0.9  973.58  979.49 
736556.000000    NaN 1567.3     NaN  987.95    NaN 1567.3     NaN  987.95     NaN   -7.8     NaN  987.95    NaN   -2.8     NaN  987.95 
736557.000000    NaN 1578.8     NaN  987.96    NaN 1578.8     NaN  987.96     NaN    2.4     NaN  988.52    NaN    7.4     NaN  988.52 
736558.000000 1574.3    NaN  982.25     NaN 1574.3    NaN  982.25     NaN    -0.1    NaN  981.89     NaN    4.9    NaN  981.89     NaN 
736561.000000 1575.9 1576.6  990.26 1000.46 1575.9 1576.6  990.26 1000.46     0.4    1.1  990.40 1000.82    5.4    6.1  990.40 1000.82 
736562.000000    NaN 1578.8     NaN 1002.30    NaN 1578.8     NaN 1002.30     NaN   -0.6     NaN 1004.65    NaN    4.4     NaN 1004.65 
736565.000000 1577.3    NaN  961.21     NaN 1577.3    NaN  961.21     NaN     3.6    NaN  960.31     NaN    8.6    NaN  960.31     NaN 
736566.000000 1570.3 1551.8  958.98  980.79 1570.3 1551.8  958.98  980.79    -5.6  -26.8  959.38  982.19   -0.6  -21.8  959.38  982.19 
736573.000000    NaN 1562.0     NaN  988.73    NaN 1562.0     NaN  988.73     NaN   -8.8     NaN  986.17    NaN   -3.8     NaN  986.17 
736574.000000    NaN 1572.4     NaN 1011.97    NaN 1572.4     NaN 1011.97     NaN   -3.2     NaN 1012.24    NaN    1.8     NaN 1012.24 
736575.000000 1571.5    NaN 1028.02     NaN 1571.5    NaN 1028.02     NaN    -2.7    NaN 1027.63     NaN    2.3    NaN 1027.63     NaN 
736576.000000    NaN 1564.0     NaN  987.58    NaN 1564.0     NaN  987.58     NaN  -11.2     NaN  987.72    NaN   -6.2     NaN  987.72 
736578.000000    NaN 1583.7     NaN  964.44    NaN 1583.7     NaN  964.44     NaN    7.3     NaN  965.16    NaN   12.3     NaN  965.16 
736579.000000 1563.0 1556.9  967.10  978.32 1563.0 1556.9  967.10  978.32   -10.6  -17.2  966.51  977.87   -5.6  -12.2  966.51  977.87 
736581.000000 1560.7    NaN  975.35     NaN 1560.7    NaN  975.35     NaN   -16.0    NaN  976.19     NaN  -11.0    NaN  976.19     NaN 
736582.000000 1571.9 1576.6  934.60  931.47 1571.9 1576.6  934.60  931.47    -1.6    0.6  933.79  932.01    3.4    5.6  933.79  932.01 
736583.000000    NaN 1568.9     NaN  948.32    NaN 1568.9     NaN  948.32     NaN   -7.7     NaN  949.28    NaN   -2.7     NaN  949.28 
736584.000000    NaN 1560.3     NaN  978.10    NaN 1560.3     NaN  978.10     NaN  -15.7     NaN  978.81    NaN  -10.7     NaN  978.81 
736586.000000 1570.3    NaN  975.39     NaN 1570.3    NaN  975.39     NaN    -5.2    NaN  975.72     NaN   -0.2    NaN  975.72     NaN 
736587.000000 1587.2 1571.8  972.99  980.35 1587.2 1571.8  972.99  980.35    12.1   -7.1  973.06  982.10   17.1   -2.1  973.06  982.10 
736588.000000 1571.4 1572.2  971.61  964.42 1571.4 1572.2  971.61  964.42    -5.5   -1.1  972.53  963.33   -0.5    3.9  972.53  963.33 
736592.000000    NaN 1566.5     NaN  936.60    NaN 1566.5     NaN  936.60     NaN   -6.5     NaN  935.57    NaN   -1.5     NaN  935.57 
736593.000000 1577.3 1576.6  921.35  932.40 1577.3 1576.6  921.35  932.40     3.1    0.7  921.13  932.97    8.1    5.7  921.13  932.97 
736594.000000 1557.0 1575.9  960.23  946.40 1557.0 1575.9  960.23  946.40   -16.6    3.9  959.73  944.64  -11.6    8.9  959.73  944.64 
736595.000000 1573.8 1563.6  948.28  962.81 1573.8 1563.6  948.28  962.81     0.0  -13.2  947.65  963.96    5.0   -8.2  947.65  963.96 
736597.000000    NaN 1581.7     NaN  947.07    NaN 1581.7     NaN  947.07     NaN    3.0     NaN  949.09    NaN    8.0     NaN  949.09 
736600.000000    NaN 1571.4     NaN  915.82    NaN 1571.4     NaN  915.82     NaN   -7.4     NaN  918.02    NaN   -2.4     NaN  918.02 
736608.000000 1571.9    NaN  927.26     NaN 1571.9    NaN  927.26     NaN    -6.5    NaN  929.49     NaN   -1.5    NaN  929.49     NaN 
736609.000000 1558.4    NaN  953.39     NaN 1558.4    NaN  953.39     NaN   -15.1    NaN  952.40     NaN  -10.1    NaN  952.40     NaN 
736610.000000 1572.8    NaN  927.36     NaN 1572.8    NaN  927.36     NaN    -7.4    NaN  930.28     NaN   -2.4    NaN  930.28     NaN 
736612.000000 1577.8    NaN  950.05     NaN 1577.8    NaN  950.05     NaN     1.0    NaN  951.24     NaN    6.0    NaN  951.24     NaN 
736613.000000 1561.7    NaN  928.05     NaN 1561.7    NaN  928.05     NaN   -16.6    NaN  929.77     NaN  -11.6    NaN  929.77     NaN 
736614.000000    NaN 1581.0     NaN  891.88    NaN 1581.0     NaN  891.88     NaN    2.7     NaN  893.85    NaN    7.7     NaN  893.85 
736615.000000 1576.8    NaN  929.77     NaN 1576.8    NaN  929.77     NaN     0.8    NaN  930.43     NaN    5.8    NaN  930.43     NaN 
736643.000000    NaN 1561.9     NaN  957.58    NaN 1561.9     NaN  957.58     NaN  -13.1     NaN  957.61    NaN   -8.1     NaN  957.61 
736651.000000 1555.6    NaN  913.01     NaN 1555.6    NaN  913.01     NaN   -21.1    NaN  913.83     NaN  -16.1    NaN  913.83     NaN 
736659.000000 1526.3    NaN 1003.04     NaN 1526.3    NaN 1003.04     NaN   -44.9    NaN 1001.22     NaN  -39.9    NaN 1001.22     NaN 
736670.000000 1571.5    NaN  887.52     NaN 1571.5    NaN  887.52     NaN    -0.6    NaN  888.27     NaN   -0.6    NaN  888.27     NaN 
736680.000000 1584.5    NaN  854.81     NaN 1584.5    NaN  854.81     NaN    17.0    NaN  853.96     NaN   17.0    NaN  853.96     NaN 
736701.000000    NaN 1543.2     NaN  985.78    NaN 1543.2     NaN  985.78     NaN  -23.6     NaN  984.24    NaN  -23.6     NaN  984.24 
736709.000000 1567.2 1584.5  932.25  929.33 1567.2 1584.5  932.25  929.33     2.0   14.4  930.11  929.47    2.0   14.4  930.11  929.47 
736714.000000    NaN 1559.4     NaN  978.17    NaN 1559.4     NaN  978.17     NaN  -11.2     NaN  978.59    NaN  -11.2     NaN  978.59 
736723.000000 1539.8    NaN  986.86     NaN 1539.8    NaN  986.86     NaN   -26.2    NaN  984.93     NaN  -26.2    NaN  984.93     NaN 
736724.000000 1567.4    NaN  942.75     NaN 1567.4    NaN  942.75     NaN     4.1    NaN  939.57     NaN    4.1    NaN  939.57     NaN 
736742.000000    NaN 1561.0     NaN  936.00    NaN 1561.0     NaN  936.00     NaN  -25.0     NaN  936.60    NaN  -25.0     NaN  936.60 
